month,method,component,contribution,active_exposure
2020-02-29,maximum_sharpe_with_gmv_fallback,factor:CMA,-0.00014321926681538273,0.02206624117444209
2020-02-29,maximum_sharpe_with_gmv_fallback,factor:MOM,-0.005035850530221758,-0.10366512150055088
2020-02-29,maximum_sharpe_with_gmv_fallback,specific,-0.00953761210211869,
2020-02-29,maximum_sharpe_with_gmv_fallback,transaction_cost,-5.1893764681336785e-05,
2020-02-29,maximum_sharpe_with_gmv_fallback,active_net_return,-0.00864572447270704,
2020-02-29,historical_joint_cvar,factor:MKT_RF,0.0007891314381632093,-0.18480580471684538
2020-02-29,historical_joint_cvar,factor:SMB,0.0028750479759211177,0.06500914183766845
2020-02-29,historical_joint_cvar,factor:HML,0.003407899269524437,-0.18103619020164968
2020-02-29,historical_joint_cvar,factor:RMW,0.002703487563528147,0.11220386844402999
2020-02-29,historical_joint_cvar,factor:CMA,0.000618973697631831,-0.09536721696939429
2020-02-29,historical_joint_cvar,factor:MOM,-0.004739795446679061,-0.09757070189414568
2020-02-29,historical_joint_cvar,specific,-0.005595125681950329,
2020-02-29,historical_joint_cvar,transaction_cost,-3.457094793591992e-06,
2020-02-29,historical_joint_cvar,active_net_return,5.616172134576072e-05,
2020-02-29,benchmark_relative_constrained,factor:MKT_RF,0.0006110006636068548,-0.1430895587979829
2020-02-29,benchmark_relative_constrained,factor:SMB,0.0019822397216217834,0.04482140969417568
2020-02-29,benchmark_relative_constrained,factor:HML,0.0008119561689136753,-0.04313315617787361
2020-02-29,benchmark_relative_constrained,factor:RMW,-0.00227194839743166,-0.09429353496428342
2020-02-29,benchmark_relative_constrained,factor:CMA,0.000973563469152378,-0.14999997407217192
2020-02-29,benchmark_relative_constrained,factor:MOM,-0.00587120072926274,-0.12086116005638135
2020-02-29,benchmark_relative_constrained,specific,-0.004380755104582205,
2020-02-29,benchmark_relative_constrained,transaction_cost,-4.683825359427245e-05,
2020-02-29,benchmark_relative_constrained,active_net_return,-0.008191982461576186,
2020-02-29,exact_cardinality_cvar,factor:MKT_RF,0.0010414534760450316,-0.24389681922145356
2020-02-29,exact_cardinality_cvar,factor:SMB,0.0024381029093689215,0.05512915929662561
